ds,y
2017-07-07,36.9878534119928
2017-07-08,6.41073709842568
2017-07-09,3.21763920720642
2017-07-10,43.4394927037304
2017-07-11,41.293490961297
2017-07-12,40.8721983701839
2017-07-13,41.7175103652975
2017-07-14,36.3279646932267
2017-07-15,6.18304822232251
2017-07-16,3.32534831626121
2017-07-17,43.7653468437823
2017-07-18,42.2246975623656
2017-07-19,40.8626545250778
2017-07-20,40.7576722289105
2017-07-21,36.0702808753615
2017-07-22,5.84356001783336
2017-07-23,3.43987445753466
2017-07-24,43.9453164943548
2017-07-25,42.1306225177481
2017-07-26,40.8694715572965
2017-07-27,41.0930702140684
2017-07-28,37.0178483537549
2017-07-29,6.14487284189803
2017-07-30,3.32807512914868
2017-07-31,44.1852760284516
2017-08-01,42.2441273911706
2017-08-02,41.9419558393972
